"948.15,""('BE', 'FE')"",[0.8999999999999999],-32363.421458470082,""[0.5078932125792472, 0.49210678742075253, nan]"",""['LIQUID', 'FEPD3', '']"""
"1273.15,""('BE', 'FE')"",[0.18],-28477.85389084487,""[1.0, nan, nan]"",""['LIQUID', '', '']"""
"1273.15,""('BE', 'FE')"",[0.36],-38832.2767144931,""[0.9999999999999998, nan, nan]"",""['LIQUID', '', '']"""
"1273.15,""('BE', 'FE')"",[0.54],-46123.55577924089,""[0.9999999999999996, nan, nan]"",""['LIQUID', '', '']"""
"1273.15,""('BE', 'FE')"",[0.72],-51874.63827617881,""[1.0, nan, nan]"",""['LIQUID', '', '']"""
"1273.15,""('BE', 'FE')"",[0.8999999999999999],-56243.475700424446,""[0.8882278054891571, 0.11177219451078586, nan]"",""['LIQUID', 'FEPD3', '']"""
"1598.15,""('BE', 'FE')"",[0.18],-46934.9395353047,""[1.0, nan, nan]"",""['LIQUID', '', '']"""
"1598.15,""('BE', 'FE')"",[0.36],-60511.32525674074,""[0.9999999999999999, nan, nan]"",""['LIQUID', '', '']"""
"1598.15,""('BE', 'FE')"",[0.54],-70242.63129559619,""[1.0, nan, nan]"",""['LIQUID', '', '']"""
"1598.15,""('BE', 'FE')"",[0.72],-78040.57116012408,""[1.0, nan, nan]"",""['LIQUID', '', '']"""
"1598.15,""('BE', 'FE')"",[0.8999999999999999],-84064.37463106969,""[0.9999999999999999, nan, nan]"",""['LIQUID', '', '']"""
"2573.15,""('K', 'OS')"",[0.18],-6.733792446480673e-05,""[1.0, nan, nan]"",""['LIQUID', '', '']"""
"2573.15,""('K', 'OS')"",[0.36],-38769.87027742758,""[1.0000000000000002, nan, nan]"",""['LIQUID', '', '']"""
"2573.15,""('K', 'OS')"",[0.54],-71348.85304252295,""[0.9999999999999999, nan, nan]"",""['LIQUID', '', '']"""
"2573.15,""('K', 'OS')"",[0.72],-100814.96081373708,""[0.9999999999999996, nan, nan]"",""['LIQUID', '', '']"""
"2573.15,""('K', 'OS')"",[0.8999999999999999],-127424.5663410155,""[0.9999999999999999, nan, nan]"",""['LIQUID', '', '']"""
"2898.15,""('K', 'OS')"",[0.18],-7.737065524275496e-05,""[1.0, nan, nan]"",""['LIQUID', '', '']"""
"2898.15,""('K', 'OS')"",[0.36],-46416.459163301064,""[1.0, nan, nan]"",""['LIQUID', '', '']"""
"2898.15,""('K', 'OS')"",[0.54],-85860.09488301516,""[1.0000000000000002, nan, nan]"",""['LIQUID', '', '']"""
"2898.15,""('K', 'OS')"",[0.72],-121797.68600233045,""[0.9999999999999999, nan, nan]"",""['LIQUID', '', '']"""
"2898.15,""('K', 'OS')"",[0.8999999999999999],-154517.98626092568,""[1.0, nan, nan]"",""['LIQUID', '', '']"""
"298.15,""('CA', 'RH')"",[0.18],,""[nan, nan, nan]"",""['', '', '']"""
"298.15,""('CA', 'RH')"",[0.36],-7572.60392707382,""[0.8038320358572103, 0.19616796414254392, nan]"",""['BCT_A5', 'LIQUID', '']"""
"298.15,""('CA', 'RH')"",[0.54],-4284.233915050063,""[0.6076640717148506, 0.3923359282851832, nan]"",""['BCT_A5', 'LIQUID', '']"""
"298.15,""('CA', 'RH')"",[0.72],-995.8639030246368,""[0.41149610757228167, 0.5885038924277186, nan]"",""['BCT_A5', 'LIQUID', '']"""
"298.15,""('CA', 'RH')"",[0.8999999999999999],2292.5061090020904,""[0.21532814342939607, 0.7846718565698932, nan]"",""['BCT_A5', 'LIQUID', '']"""
"623.15,""('CA', 'RH')"",[0.18],,""[nan, nan, nan]"",""['', '', '']"""